Tidstämpel,,"Hur känns det i nuläget med den akustiska fiolen i aspekterna av ergonomi, spelbarhet och ljudkvalité?","Hur skulle du bedöma ljudkvaliteten på violinen i aspekterna av tonhöjd, volym, klang och övertoner i jämförelse med en akustisk violin?","Jämfört med den akustiska violinen, hur skulle du bedöma att den elektriska placerar sig i tonhöjd och klang?",Kan du beskriva ljudkvaliteten hos båda violinerna? Finns det några specifika nyanser eller karakteristiska ljud som du märker? Hur skulle man isåfall kunna framhäva de mer?,Hur tycker du att övertonerna hos de olika violinerna bidrar till den totala ljudupplevelsen? Hur skulle man isåfall kunna framhäva det mer?,"Hur skulle du bedöma spelbarheten av den elektriska violinen i jämförelse med de akustiska violinen i aspekterna av hur fungera fingerpositionering på greppbrädan, hur svarar  violen på olika typer av spelteknik etc.?",Beskriv din upplevelse av att spela på de olika violinerna. Finns det några specifika aspekter spelandet som underlättar eller svårigheter som du märkt? Vad skulle man kunna göra åt det?,Hur skulle du beskriva responsen av bågen och fingertryck för del elektriska violinen i jämförelse med den akustiska violinen?  Vad skulle man kunna göra åt det?,Hur bekväm och lätthanterlig är greppbrädan på den elektriska violinen?,Bedöm viktfördelningen och balansen för den elektriska violinen i jämförelse med den akustiska violinen.,Hur påverkar formen på fiolens kropp och hals din spelkomfort? Hur skulle man kunna förbättra det?,Kan du notera några skillnader i ergonomin mellan violinerna när det gäller viktfördelning och balans? Hur skulle man kunna förbättra det?,Hur skiljer sig spelbarheten på dessa violiner från vad du är van vid från en vanlig violin? Hur skulle man kunna förbättra det?,Finns det några specifika aspekter av ljudkvaliteten som utmärker sig jämfört med en vanlig violin? Hur skulle man kunna förbättra det?,Hur upplever du den övergripande ergonomin hos den elektriska violinen jämfört med en traditionell violin? Hur skulle man kunna förbättra det?,"Helhetsbedömning i nuvarande läge av den elektriska violinen i aspekterna av spelbarhet, ljudkvalité och ergonomi"
2023-12-14 13.07.04,kan ej spel,"Inte bekvämt, den gick och spela på, uppfyller syfte, kass ergonomi",6,5,"Den aukustiska lät mycket värre i mina öronen, men kan vara för att jag hade nära örat. Jag vet inte riktigt vad jag pratar om, men att de var ganska lit, men den elektrisk lyckades stoppa lite av de öronblödande ljuden. ",Vet ej hur man identifierar en överton. Så vetifan hur dte låter. vet att överton flera vågor.,4,"Dne elektriska fiolen för mig är att den är väldigt främmande. Utformade efter en vadnlig, men tar bort de onödiga. Inte lika bökig, inte lika mycket plats en. Känner av det när man spelade, dte var bättre. Men inte var någon jättestor skillnad. Saknar stora områden, har inte samma uttryck.","Märkte ingen större skillnad, men man får vänat sig en liten deley, men var inget jag tänkte på när jag spelade. Märket därav inte så mycket. Brädan var responsiv.",6,5,"formvis så påverkar int ejätte,ycket, följder de vanliga formen på en fiol. Men påvekar det positivt för en lättare spelupplevelse.","Den elektriska är baktung, fördel för att du lägger den på axel och i stortsätt så håller hela kroppen upp fiolen.","den lätter att spela på den eletrisk, pga den viktfördelning och kropp. Och higjliet de viktigaste delaran i hur en fiol passar när man spelar. Samt hur viktfördelning för att armen som håller i halsen gör det lättare att trycka på strängarna.","inte lika högludd, man kan anpassa ljudet på ett helt annat sätt. man göra det genom ptogram. Underviker det falska som kommer av det falska när man spelar på en fiol. Om man testar med större högtara och ljusvolyer så får man en mer representatv bild av vad som skilljer sig mellan dem.","Bättre, den känns mer anpassad. Du anstränger inte kroppen på ett annat sätt.",6
2023-12-14 13.23.49,kan ej spel,"Ergonomi, jobbigt att hålla imot bröstet jämfört med gitarr. Liten greppbräda. Vet inte hur den skall låta, kommenterar ej ljud",5,7,"svårt att avgöra för att jag spelade katastrofalt. Ingen anning, kommer ej på något.","inte så bra att hitta skillnad epå övertona, men auktustika var lite bättre på övertoner. Men kan vara att den lät mycket mer, lät mycket mer kraftfull.",3,"Mer fiolerna överlag, båda var svåer att försöka går från hög till lågt. man har bra nacken och bröstet att använd asig av. men dte har mer med fiolen i lag att göra. MEn fiolerna i sig har den elektriska svårare att spela för att den vägde mer.",Det la jag inte märke på. kanske inte fanns någon delay.,3,2,mer fioln lver lag. jag som spelar fiol och inte van vid ett litet intrument.,"ja viktfördelning och balas, den auktutsiak var mycket mer jämn. men du kan hålla uten utan att behöva anstänga dig. Du behöerv anstränga dig för att kunna hålla upp den om du inte skulle behöva strycka på en sträng när du ej gör adte.",jag skulle säga att spelbarehetn var lik. Egonomin ställde till dte.,märkte var att den lektrsika var att den lite lät lika mycket i ljud intensitet.,som sagt var en ergonomin på en elektriska. vägde mer och hande behövde hjälp till för att kunna hålla upp den.,6
2023-12-16 17.51.33,kan spela,"Det en tillfräckligt bra, jag har spelat med den i flera åt.. Den passar mig tillräckligt bra. Dte är en student fiol ås inte särklit komplicerat. Låter okej. Den får fram rätt toner när jag trycker. Inte så längt mällan händer, och bågen känns bra. Tillräckligt stor.",5,4,"På en vanliga så är den klarare. Ljudet kommer direkt ur fiolen vilket gör att man hör det bättre. Klangen känns bättre. och när den kommer ifrån en förstärkar så blir den mer molninga.

Den eleketriska har ett mer luddigt ljud, medan en akustiska har ett mer vasst ljud.","De fungera. Ljudet är inte samma som en vanlig fiol. Man fattar att det är samma ton, men dte är inte samma som en riktig än.",5,"Vikten gör det lite för mycket obalandersat, Elketriska väger för mycket i abkre delen. Annorlunda än vad man är van med. tycker inte om det, blir jobbigar. man kan hålla upp den med bara kinden. Medan på den elektriska så behöver du hålla uppde den med hela handen. och det kan störa spelandet. 

minska vikten i bak. ","Utan snäckan (refertenspunkt fingerpositionetringen) så blir det svålare att placera.greppbrädan känns ganska lika, plasten på elektrsiak gör dte lättare med svettiga händer. utforma kroppen för referenspunkt och snäcka.",6,3,"Gillar en riktigt utfromad fiol men konturer för att använda som referenspunkter. 

samma intrcyk att det är samma fiol när dte kommer till formen för kroppen och halsen. 
",på en en vanlig så är den lättare och hantera för att den är lättare. Men det är massan/vikten som påverkar mest.,"lika, men pga elektrsiak är formen så blir den kosntig. Förvirrande så blir det att det låter fel. Möjligvit lättar att spela elektrisk pga hals om man struntar i andra aspekter.","på en elektrsiak så är vissa toner mycket svagare, inte lika vassa. annars låter de ganska liak för att de påminne om varanda fast de är olika. En elektrik folk kan låta högre, men ken bli att tonerna blir mer ihopblandade.","det är massan som gör dte irriterande att spela. arbeta mer med hande, svårare att koncentera. emn annars funegra den lika bra. Annars känns den lika bra att hålla. ",5
2023-12-18 12.51.03,kan ej spel,"Kändes bra, typ. lätt och väger inte så mcyket. Låter bra men kan ju inte spela. Inte så svårt att spela, bara dra en stråke.",4,3,"Något mörjar ljud, man hör ljuded komma från 2 källor. Lite överlappning för att det kommer fårn 2 ljuskällor. Känns något mörkare på den elektriak. Något lägre.","Kan inte något, förstår ej fråga",4,"låter hemskt för att dålig på att spela. Känns billigare. traditione känns dytrar för att den har detalje. elektrisk är platsig och känsn plastig och billigare. Tunnare i baken , lägre mellan axelstöd och kindstöd",Kände ingen skillnad. Fick olika ljud med olika tryck. men typ samma. grundläggade ljudkvaliten är störta skillnaden än faktiska egenskaper,4,4,den hade en form.,jag vet inte tillr'ckligt om fioler för att säga något,vet inte,sagt redan,nej,3
2023-12-18 13.34.35,kan spela,"Inte bra på något av det, Dålig ergonomi, mest axelstödet. Kurvaturet på stallets översida var platt. Lite ostämd :). Lite gäll. Låter billigt. Inte bra spelbarhet. ",5,4,"Gäll, esträng- låter då, för mycket mellan register, nog med bas.",går inte att avgöra med den högtalare. ganska typs i övertons registret. renare ljud på referens fiol,4,"Svråghet i kan av greppbredd, för mycket material på sidan av e-strängen. Sträng höjden en aning låg. Hagstöd en aning mer bakåt i samma nivår som kanten. Elektronik oskyddad. stäms skruvar å gitarr är inte optimalt. instrument utgång behövs.",strängar ligger för lågt. Helt okej greppbräda. En aningen glattare. Kantare är vassa på greppbrädan.kanten högst upp på halsen så är kanterna vassa. Helt annan mjukhet. ,3,3,"Överdelen av kroppen påverka, är för korta. Formen påverka inte spelarbeheten alls. ","Virkfördel så påverka det, långtids aspekten så kan man bli trött. ","Halsen främst, och ha bak hakstöd.","vass, för mycket mellan register. Hittar ingen övertoner så som man vill",stämskrivarna går inte att komma åt på bekvämt sätt.,3
2023-12-19 17.16.18,kan spela,"Ganska basic fiol. Som inte så fin i ljudkvaliten. Välfunegdae fiol. Bra sperhet och satt på ett bar sätt, men svår på sätt och viss. strängarnas tension och strängar i relation till hur lätt den är skapa sträng. Ljudte blir svårkontrollerat. svåarre att spela låter ganska jämt.ergonomiskt känns som inte så stor. för att vara en fiol så är det rätt egonomisk. balasera ocg inte för tung eller lätt.",6,5,känns som en stabil elfiol. och ljuskvaliten inte så bra. akusitak ljuet från elfione låter bra för at avra en elfiol. skulle nog funegra bätre med en förstärkare.,bra klangrikedrom för att vara en elfiol i förhållande. ,4,"Lättare att få en bättre ton på. svårare att hitta på greppbrädan för att högen på kroppen tar bort förhållningspunkt. Stämskruvarna sitter på ett konstigt sätt och påverkar mycket på hur man ska stämma. påverkar den otroligt mycket.

bra med den är att den är så pass massiv gör gör det lättare för stråken.",svara mycket bättre på den elektriska. Lägre stränghöjd vilket gör lättare att få toner. och greppbrädan är bättre för toner.,5,6,skruvhålet är inte tillräckligt bra. Svårt att hitta vart man ska vara i tjocklek på fiolen övre del av kroppen. ,"Den är tyligt tygre, dåligt för ergonom, men bra för klang.  bättre balans för att den är tryre för att den behöver vara det. ",stråken och klangskapet bättre.,att den är så tung och massiv och får bra klang för att vara elfiol.,"tung, bra. trot dåligt för ergonom. kompeserar för balansen..",5
2023-12-19 18.28.16,kan ej spel,"väligt högt i örat när speladet. inte van vid det. axelstödet satt bra. ganska lätt att få ljud. kändes inte tung, utan ganska bra i tyngd. hakstöd helt okej.",5,4,"aukustiska delen, när ljuset kom ifrån rakt ifrån. ganska bra. Skönt att inte ha högt ljud nära örat. Vissa ljud klarar den inte av, men är beroende av set upp. Elektrsiak enklar att få fram ljud som man söker. ",vet ej vad det är,6,underlättade att det inte var så mycket ljud rakt i örat. Den var tyngen i bakdelen var längre in på elfiolen.,"kände inte så stor skillnad. Känner att auktriska ska gå av om man trcyker hårt på halsen, men inte på den elektriska. kan trycka hårdare då, känns det som.",4,5,axelstödet påverkade hur det kändes att spela. Den hade en form som inte passade kropp. hakstödet hade någon kant som var konstig. bakdelen av kroppen kändes inte av,"Tyckte om att viken är längre bar på elektriska, behöver inte hålla ute bak. kände som att fiolen gled ner när dte var just det axelstödet och viken i bak. ",elektriak var enklare att få fram ljudet.,"aukutiska fylligare ljud. Skillnad till när man kan kan ha högre volym på den elekttak med förstärkare, men mer fyllet på aukustiska.",tyckte om viktfördel på elektrisk. Men hak och axelstöd var inte bra.,5
2023-12-19 19.47.17,kan spela,gillar sin fol. spelar bra och låter bra. blir trött.,4,3,"det märks att det är ett elektrisk instrument. Dte låter som en elgittar, fat en fiol.  Dte har ekokällan och har ingen. Efter klangen får ett annat lju. Ljuet blir plattare om man inte har någoot annat ljud.",inget som tänks på/märker av,4,lättspelad och förlåtande. ,bra. lätt att hitta rätt på greppbrädan.,6,2,jättebra form. lättare att hålla i.,mindre bekvän för att den är tyngre. Man blir trött när man spelar på det för länge.,knöligt att man behöver koppla in den. Men det gäller ju alla.  rolig att spela på.,den var snäll och förlåtande att spela på.,"bra, men är sämre för att den är tung. ",3
2023-12-19 20.15.44,kan ej spel,den var helt bekväm. inte svårt att få toner. inte så van. lät bra.,6,6,den låter som att man har spelat fiol en stund lite. Det lät som en fiol. Dte lät som en bra fiol,vet inte,4,Dne var mycket tyngre. Men annars så var dte iinte så svårt. Referenspunkter för att den inte har en full kropp hade varit bättre.,den elektrika var bättre på tonsättet när man trycke ner. svarade mycket tydligare och starkare. fingertrycke rvar också lite enklare.,5,3,"knapp något, ganska lika. ",inga problem att den var tynge. den var realtivt lätt. inga problem för att den var enkle att hantera.,enklare att spela på för att den gav finare toner,det jag sa,bra,5
2023-12-19 20.50.52,kan ej spel,för liten för den. bekväm och är som man är van vid. lätt att spela med stråken. lite obekväm med axelstödet för att det var för kort.,6,5,ljudet lät finare. aukustiska hade mer raspigt ljud. Stråken kunde inte dra över strängarna. Ljudte var rakare på elfiolen. mer smooth ljud på el.,vet ej vad det är,5,"lättar eatt placera stråken. Strängarna inte lika spända. dte var lättare. hakstödet skönar, men trolgen bättre för att axelstödet var bättre. dra ståken över stängarna av lättare.",lät ungefär likadant när man tröck på samma ställe. lätarer att trycka när fingarna på elfiolen.,4,3,påverkad einte så mycket i kroppen. känd e inte av kroppen när man spelade.,enfetrsom den var tynger så blir dte anstränagd för armen. Det är sämre då. svårare att hålla balasen av den för att hålla kvar den på axeln. tung.,lätatre att dra ståken för att få ljudet,dte läte renare och lätatre att dera med ståken för att få ett bra ljud.,lite mindra balans viken,4
2023-12-19 21.29.40,kan ej spel,högljudd. inte så bekvänt att hålla på den. ganska mycket up-in.your- face skrapigt och pipigt. ,5,5,tonerna är mycket klarare,de är ganska lika. bra tonkvalite.,5,tonskillnaden är dne största. Elfiolen är bekvämare för att den hörs inte bara i ena örat utan kommer ifron hela den.,lite mer spända stränga men krävdes det lite mer att trycka ner.,4,5,lättare att spela för att den känsn mer fri och rymlig. mer yttrymme att hålla armen. ,"viktfördelnonegn känns pra, känns mer som ett instrument. känns som att man spelar med på ett intsrument",elektrisk lättare att spela för att den är mer förlåtande med tonerna. formen påverka formen på viljan att spela på den.,tydligare toner,"den är bekvämare, den har mer plats",5
2023-12-20 10.17.35,kan ej spel,kändes som en fiol. det var skönt att spela. så ergonomisk som en fiol ska vara. lättspelad. ,5,4,lät bra. inte samma rikhet i övertoner. känsn som något blir sker kosntig i placeging epå greppbräden. klangen är lite tunnare.,"mindre än på den vanliga fiolen, men inte så mycket sämre. saknas något i övertoner och känns mer fylligt.",6,svårare att träffa mitten strängarna. välvningen är mindre. ,något känns annorlunda i responsen. annorlunda sämre. känner inte av vibrationerna. Mindre massa som svänger.,5,4,känns svårare att den är tyngre. Den är inte sämre. För att den är väl utformad.,"tyngdpunkter liggre närmare spelaren kroppn på elfiolen. lite båda och, lite fördle att dne är tyngre fö att det är lättare att röra sig på greppbrädan.",förvånansvärt lite. kändes något sämre.,"känns som att det är ett tunnare ljud. Träfiolen har rundar eklnag, har trevligare och rundar eklang. ","bra, men en aning sämre.",3
2023-12-20 10.44.20,kan spela,"trevlig greipppbräda, bra höjd på strängar.a konstig för att det inte är sin egen.  den är egnomiks och såd en ska vara. bra vikt.",7,7,inte lika känslig för gnlsien eller dålig stårkteknik. lite svårare att spela på. mjukare ton. gnislet som plocka supp av den akutsika kommer inte upp på en elkektsriak. trevligare över lag,"mycket bra, trevlig",5,den är baktung. en svårtighet. fungerar  annars bra. sammanlagt en trevligare upplevelse. all småskit plockas inte upp lika märkvärdigt.,den är bra. resposner känns bättre. den upplevs som bättre. greoppbrädan är trevl. man känner av lite att det är plast. gör inte så stor skillnad.,4,2,inte överrdigtgt mycket.. lite svårt när dne börjar glida,aldeles för baktung. beror på såpelsätt och gör att den glider mer. känns som att en trycks ner och bort från den. balanse n på en aukutiska är bättre.,trevliagre att spela på den elektriska. får folken konstroktins perspek där en aukustisk bättre.,"mindre gnissel, trevligare ton över lag. ",lite sämre. mycket på grund av baktungheten.,6
2023-12-20 20.14.07,kan spela,"ingens större skillnade på egronomin hos de dem. skilland i spelbarhet, lika lätta att spela på. tonkbalite känner att dte är skillnad. Känner att det är olika prisklass för att det är för olika.",4,2,Sargkanten är lite för kort. Den är lite fel och blir fel referenspunkt. Känns lite som fetare hals och klumpig.  för tjock hals. svårt att säga för att finns möjligheter man kan skruva och ändra ingsällningar. dubbelgrepp hantyerar inte ljudet bra. låter som en elfiol.,inget som reagerdade på.,2,uppleves inte som samma avstånd mellan hals och kropp. inte märkvärt större skillnade mellan dem. Mycket är att det är en vanesak. Tyngden påverkar mycket.,ganska dessamma.inget som är sämre. känns som att strängarna stämmer i vinkeln. Lite högt kanske ju längre bort. lite trögt där nere att trycka. ,2,2,"övre delen av kroppen, de bitarena måste vara så lite. men bra att det är en lite kropp för att den vägre mindre. bra hakstöd ohc inte för hög bulla på kinddelen.","för tung för att det ska vara bekvämt att spela. den är tung och blir åfestan på nacke och att hålla på den, och med nacken. men bra balans.","måte får ner vikten, få ne rhalstjockleken. få bort över delen av kroppen för att kunna ta emot. ",olika för att de är olika instrument. beror helt på hur man lägger det och ställer in det. så det finns mycket möjlighet och mankan påverka ljudet så mycket.,"vikt, haltjocklek och när den tar emotsig i sargen.",2
2023-12-22 14.03.19,kan spela,"kjudkaliten känns bra, den är stämd. stråken var hatchad. det var enket att spela på dem. mycket klang, men hade kunnat ha mer.  i och med att det inte egen så blir det annorlunda. samma storlek, placerat på samma ställe men känns oavsett.",4,6,"märker av att vibrator kommer fram tydligare. hör att det finns lite reverbe. tonerna kom fram väldigt tydligt. kanske mer fokus på ljudet. blandas ut mer i den akutsruska, och rakt ljud på en elektriska- lättare att få bra ljud, tar bort hackigheter","ja, de kommer fram starkt.",5,lite mindre känns det som ihold. enkelt att spela på den. annorlund att dte är en elfiol. man kommer in i ett flow. lite ovant med formen men det går bra att spela på den.,"du kan hålla stråken på alla håll och ändå få ett bra ljud. stränghöjden ovant med stänghöjden. skillnad på material hals, men inget som är märkbart. Fått bort platskänsla, spelar som på en cool fiol och inte en bit plast.",7,6,"annolrunda med att den är så tom kropp. mer vane sak för att kroppen är full. kindstödet är bra, och bättre än den andra. bra med detaljer på kroppen.","den är baktung och mer centrerad och fördelad över hela. föredrar att den är baktung, för lättare för vibrato.","enklare at få klang. enklare att jobba med stråkmässigy, fingermässigt. enklare att hålla och spela på.","ja, den hjälper att den har mer effekter. meningen är att den kanske sva vara like den auktutsiak men ändå inte.",utifårn ett vanighets perspektiv  så är auktutsik. men den auktutiska behrövare i sin helthet för att man kan placera stråken var som helst.,5
